MedInc,HouseAge,CHAS,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2,38,0,4.4,1.1,344,2.2,37.8,-122.3,1.3
1.5,17,1,3.2,1,609,2.1,37.8,-122.3,1.6
1.2,52,0,3.8,1,183,3.3,37.8,-122.3,1.1
1.5,52,1,3.9,1.1,200,2.3,37.8,-122.3,1.1
0.8,52,1,2.5,1.1,346,2.2,37.8,-122.3,1.4
1.8,35,0,5.6,1.1,467,2.8,37.8,-122.3,1.2
2.4,52,0,6.7,1.2,377,3.3,37.8,-122.3,1
1,40,0,2.3,1.2,582,1.5,37.8,-122.3,1.2
0.8,10,1,2.7,1.1,546,1.7,37.8,-122.3,1.6
1,10,0,2.7,1.1,125,3.2,37.8,-122.3,1.4
1.2,52,0,2.9,0.9,396,4.7,37.8,-122.3,5
2.1,16,0,2.7,1.1,800,2.2,37.8,-122.3,1.6
0.9,52,0,2.4,1,904,10.3,37.8,-122.3,1.4
0.8,52,0,2.8,0.9,191,5.6,37.8,-122.3,1.6
2.6,27,0,3.5,1.1,718,2.4,37.8,-122.3,1.9
1.8,39,0,3.7,1.3,1327,2.8,37.8,-122.3,1.8
2,36,1,2.3,1.1,3469,1.5,37.8,-122.3,1.3
2.8,31,1,3.9,1.1,2048,1.7,37.8,-122.3,1.8
2,29,1,3.7,1.2,202,2.2,37.8,-122.3,1.3
1.2,22,1,2.9,1,2024,1.6,37.8,-122.3,1.7
2.6,37,0,3.7,1.1,1838,1.9,37.8,-122.3,1.9
2.5,29,1,3.7,1.1,2304,1.8,37.8,-122.3,2.6
3.2,28,1,3.9,1.1,2563,1.7,37.8,-122.3,2.7
3.1,39,1,3.7,1.1,389,1.7,37.8,-122.3,2.4
2.6,52,1,3.5,1.1,895,1.5,37.8,-122.3,3.5
2.8,34,0,3.3,1.1,2689,1.5,37.8,-122.3,3.4
4.9,52,1,6.2,0.9,674,2.8,37.8,-122.2,3.1
3.3,52,1,4.4,1.1,709,1.6,37.8,-122.2,2.7
3.2,52,1,4.2,1.1,686,1.6,37.8,-122.3,2.6
3.9,52,0,4.8,1,1444,2,37.8,-122.2,2.8
3.9,28,1,4.2,1.1,1520,1.9,37.8,-122.3,2.3
5.1,52,1,5.6,1.1,550,2.2,37.8,-122.3,2.6
2.6,32,0,3.7,1.1,1806,1.8,37.8,-122.3,2.2
3,26,0,3.3,1,1749,1.4,37.8,-122.3,2.6
3.1,52,1,4.6,1.1,939,1.8,37.8,-122.3,2.2
3.5,35,1,3.8,1,675,1.6,37.8,-122.3,2.4
3.1,52,1,4.4,1,534,1.8,37.8,-122.3,2.3
2.4,28,0,3,1.1,2558,1.5,37.8,-122.3,2.2
3.1,52,1,4,1.1,1786,1.7,37.8,-122.3,2.3
5.9,50,0,6.7,1.1,970,2.6,37.8,-122.2,3.3
5.3,47,0,6.5,0.9,1098,2.3,37.8,-122.2,3.5
6,41,1,6.9,1.1,794,2.1,37.8,-122.2,3.7
5,37,0,7.1,1.1,98,2.1,37.9,-122.2,3.4
6.3,52,0,6.9,1,1061,2.6,37.9,-122.2,3.7
5.2,52,0,6.4,1,1177,2.1,37.8,-122.2,3.9
7.2,52,0,7.1,1,901,2.5,37.9,-122.2,3.9
5.5,28,0,5.5,1.1,2031,2.1,37.9,-122.2,3.4
7.5,50,1,6.1,1,1031,2.2,37.8,-122.2,3
6,44,0,5.7,1,1358,2.3,37.8,-122.2,2.9
7.6,40,0,7.6,1,1616,2.5,37.8,-122.2,4.1
6.1,30,0,6.4,1,844,2.5,37.8,-122.2,3.1
7.1,34,0,6.1,1,1140,2.3,37.8,-122.2,3.3
11.6,18,0,8.3,1.1,533,2.7,37.8,-122.2,3.9
7.5,35,0,6.5,1,1072,2.4,37.8,-122.2,3.2
6.9,34,0,6.6,1,1627,2.1,37.8,-122.2,3.3
8.2,28,1,7,1,463,2.4,37.8,-122.2,3.4
8.4,26,1,7.5,1.1,542,2.6,37.8,-122.2,3.5
6.9,29,0,6.7,1,661,2.5,37.8,-122.2,3.7
8.3,32,1,7,1,635,2.4,37.8,-122.2,3.7
7,37,0,7,1,420,2.4,37.8,-122.2,3.7
6.3,39,0,7.5,1.1,1265,2.5,37.8,-122.2,3.6
6.4,30,1,5.6,0.7,126,2.4,37.8,-122.2,4.8
7.1,52,1,6.8,1,813,2.3,37.8,-122.2,3.3
6.8,45,1,7,1,1067,2.5,37.8,-122.2,3.2
2.9,50,1,5.1,1.1,1260,2.3,37.8,-122.2,2.2
3.1,38,0,4.6,1.1,951,2,37.8,-122.2,2.3
5.2,52,0,6.2,0.9,510,2.3,37.8,-122.2,3
6.5,52,1,6.4,1.1,765,2.5,37.8,-122.2,2.7
3.3,52,0,4.7,1,1129,2.5,37.8,-122.2,2.3
3,52,1,5.2,1.1,1073,2.4,37.8,-122.2,2
4.5,52,0,5.3,1.1,1185,2.3,37.8,-122.2,2.4
4.1,52,0,6,1,756,2.2,37.8,-122.2,2.7
5.4,52,0,5.7,1,1034,2,37.8,-122.2,3
3.2,52,0,4.4,1.1,787,1.7,37.8,-122.2,2.7
4.8,52,0,6.7,1.1,612,2.9,37.8,-122.2,3.1
8.2,52,1,7.7,1.1,1021,2.7,37.8,-122.2,3.9
8.9,52,1,9,1.1,861,3.3,37.8,-122.2,4.1
6.9,52,0,7.6,1,953,2.9,37.8,-122.2,3.5
6,52,0,5.8,0.9,634,2.5,37.8,-122.2,2.9
7.5,52,0,8,1,878,2.5,37.8,-122.2,3.5
2.7,52,0,4.3,1.1,918,1.9,37.8,-122.2,2.4
2.2,52,1,5.1,1,360,2.1,37.8,-122.2,2.1
3,52,0,4.3,1,1197,2.5,37.8,-122.3,2.2
3.7,52,0,4.9,1,1048,2,37.8,-122.2,2.7
3.2,46,0,4.3,1.1,1373,1.8,37.8,-122.3,2.2
2.9,42,0,4.1,1,1715,1.7,37.8,-122.3,2.3
2.1,43,0,3.3,1.1,1359,1.9,37.8,-122.3,2.5
1.6,41,0,3.6,1.1,1062,2.6,37.8,-122.3,1.7
1.4,29,1,3.2,1.1,1335,1.7,37.8,-122.3,1.9
2.3,27,0,3.8,1.1,1171,2.7,37.8,-122.2,1.3
1.8,45,0,3.9,1.1,1475,3.2,37.8,-122.3,1
2.6,50,1,3.2,1,742,3.8,37.8,-122.3,1.3
2.2,52,1,3.7,1.1,1086,3,37.8,-122.3,1.4
2.2,36,1,3.1,1.1,1645,3,37.8,-122.3,1.2
1.7,43,1,3.6,1,1710,2.7,37.8,-122.3,1.5
2.3,52,0,4.4,1,731,3.2,37.8,-122.2,1.3
2.2,52,1,4.6,1.1,1118,3.2,37.8,-122.2,1.3
2.1,52,1,4.7,1.2,1006,3,37.8,-122.2,1.4
2.6,47,0,3.7,1.1,1213,2.2,37.8,-122.2,1.8
2.4,52,1,4.6,1.1,772,3,37.8,-122.2,1.5
3,52,0,4.5,1,1321,3.3,37.8,-122.2,1.2
2.5,49,1,4.2,1.1,1487,2.2,37.8,-122.2,1.7
1.9,52,1,4.2,1,488,2.6,37.8,-122.2,1.3
1.9,51,1,4.1,1.1,949,2.4,37.8,-122.2,1.3
2.3,50,1,4.2,1.2,1149,2.8,37.8,-122.2,1.2
2.4,52,1,4.5,1.1,844,3,37.8,-122.2,1.1
2.2,43,1,4.8,1.1,4367,3.5,37.8,-122.2,1.1
2.9,52,0,4.3,1,1659,4,37.8,-122.2,1.1
1.9,30,1,3.8,1,1011,3.8,37.8,-122.2,1.4
2.2,39,0,3.8,1.1,1464,3.8,37.8,-122.2,1.1
2.1,47,1,4.5,1.3,1237,4.1,37.8,-122.2,1
3.4,52,0,4,1.1,647,3.9,37.8,-122.2,1.2
2.3,43,0,4.6,1.1,1284,3.6,37.8,-122.2,1.1
2.1,51,1,3.2,0.8,228,4.1,37.8,-122.3,0.8
1.6,39,0,3.7,1,381,3.1,37.8,-122.3,1.1
3.6,52,0,4,1,846,3.7,37.8,-122.3,1.3
1.7,20,1,3.5,1.2,1659,2.5,37.8,-122.3,1.2
1.6,52,0,2.8,0.9,520,3.8,37.8,-122.2,1
2.6,52,1,4.4,1.2,866,3.3,37.8,-122.2,1
2.6,52,1,4.2,1.1,612,3.3,37.8,-122.2,0.7
2.6,52,0,3.7,1.2,415,3.3,37.8,-122.2,0.7
3,52,1,4,1,994,4.7,37.8,-122.2,0.8
1.5,50,0,4,1.1,1525,3.2,37.8,-122.2,1.3
1.9,43,1,3.2,1.1,1506,3.4,37.8,-122.2,1.1
1.5,52,1,3.9,1,1008,4,37.8,-122.2,1.2
1.6,44,1,3.1,1.1,2813,3.7,37.8,-122.2,1.2
2,48,1,4.9,1.2,1481,4.3,37.8,-122.2,1.2
2.3,49,1,5.4,1,859,3.9,37.8,-122.2,1.1
2.1,37,0,4.5,1.1,1608,3.1,37.8,-122.2,1.3
1.6,30,0,4.4,1,425,3,37.8,-122.2,1.2
1.3,40,0,5.1,1.1,564,3.1,37.8,-122.2,1.1
3.5,44,1,5.5,1.2,961,3.5,37.8,-122.2,1.1
3.9,52,0,5,1,2273,3.3,37.8,-122.2,1.6
3.1,52,1,3.9,1,600,3.1,37.8,-122.2,1.3
2.6,46,0,4.5,1.1,1647,3.1,37.8,-122.2,1.2
2.5,49,0,4.3,1.1,1201,2.8,37.8,-122.2,1.4
2.8,38,0,4.6,1.1,2167,3.3,37.8,-122.2,1.4
2.8,29,1,4.8,1.1,939,2.8,37.8,-122.2,1.5
3,47,0,5.3,1.1,859,2.9,37.8,-122.2,1.4
2.8,34,0,4.6,1.1,1517,2.9,37.8,-122.2,1.4
2.9,35,1,4.5,1.1,1143,3,37.8,-122.2,1.4
3.1,39,1,4.3,1.1,1109,2.4,37.8,-122.2,1.6
3.1,39,1,4.5,1,1221,2.7,37.8,-122.2,1.5
5,43,0,6.7,1.1,1115,2.5,37.8,-122.2,2.7
4.8,52,1,5.8,1.1,706,2.6,37.8,-122.2,2.2
3.5,52,0,5,1,1883,2.7,37.8,-122.2,1.9
5.1,41,0,6.1,1,804,2.4,37.8,-122.2,2.4
4.1,48,1,5.2,1,506,2,37.8,-122.2,2.3
4.7,48,0,7.1,1.1,610,2.6,37.8,-122.2,2.6
4.3,46,0,5.8,1,768,2.3,37.8,-122.2,2.5
3,50,0,5.3,1.1,462,2.5,37.8,-122.2,1.8
4.2,40,1,4.5,1.1,667,2.8,37.8,-122.2,1.7
3.8,46,1,5.1,1,1059,2.7,37.8,-122.2,2
4,52,0,6.5,1,637,2.3,37.8,-122.2,2.6
4.7,45,0,6,1,1106,2.4,37.8,-122.2,2.3
2.9,28,1,4.7,1.1,1737,2.6,37.8,-122.2,1.4
2.3,35,0,4.6,1.2,1009,2.6,37.8,-122.2,1.3
2.7,49,0,4.2,0.9,737,3.5,37.8,-122.2,1.2
2.6,44,0,3.3,0.9,1354,2.8,37.8,-122.2,1.3
2.4,45,0,4.5,1.1,1530,3.2,37.8,-122.2,1.4
2.8,45,0,4.2,1.1,1410,2.9,37.8,-122.2,1.2
2.7,46,0,3.9,0.9,1390,2.4,37.8,-122.2,1.4
1.8,52,1,5.5,1.1,1065,4,37.8,-122.2,1.4
2.7,52,0,4.3,0.9,792,3.2,37.8,-122.2,1.4
3.1,49,1,3.7,1,779,3.2,37.8,-122.2,1.4
2.4,44,0,4.9,1.2,2269,3.7,37.8,-122.2,1.1
1.7,43,1,4.2,1.1,1227,3,37.8,-122.2,1.3
2.6,47,1,3.7,1,753,3.1,37.8,-122.2,1.1
2.8,40,1,3.7,0.8,547,4.1,37.8,-122.2,1.1
1.7,50,0,4,1.1,1807,4.1,37.8,-122.2,1
2.1,44,0,3.4,1,1700,3.4,37.8,-122.2,1.3
2.5,51,1,4.2,1.2,1543,3.9,37.8,-122.2,1.2
1.8,52,0,4.7,1,1085,3.6,37.8,-122.2,0.8
4.1,52,1,4.3,1.3,353,2.6,37.8,-122.2,0.8
2.7,52,0,5,1,473,3.2,37.8,-122.2,0.9
2.4,49,0,4.7,1,1621,3.4,37.8,-122.2,1
2.3,46,0,3.5,1.1,1183,3.3,37.8,-122.2,1
2.3,43,0,3.7,1.2,836,3,37.8,-122.2,1
1.8,42,0,3.5,1,900,3.4,37.8,-122.2,0.9
2.3,39,0,5,1.1,1888,3.5,37.8,-122.2,0.9
2.1,41,1,4.5,1.2,1024,3,37.8,-122.2,1
3.5,52,0,5.4,1,1225,2.9,37.8,-122.2,1.6
3.1,39,0,4.7,1.1,1071,2.8,37.8,-122.2,1.2
2.5,50,0,4.9,1.1,1128,3,37.8,-122.2,1.3
2.9,43,0,5,1,1537,3.2,37.8,-122.2,1.2
2.3,44,1,4.4,1.1,1240,3.2,37.8,-122.2,1
2.9,52,0,6.1,1.1,469,2.8,37.8,-122.2,1.6
3.4,52,1,5.1,1,1086,2.6,37.8,-122.2,1.4
3.5,52,1,5.6,1.1,1144,2.7,37.8,-122.2,1.5
4.3,52,0,6.6,1.1,1109,3,37.8,-122.2,1.6
3.2,52,0,6,1.1,984,2.7,37.8,-122.2,1.6
3.9,33,0,3,0.7,575,12.2,37.8,-122.2,2.3
5.2,49,0,5.7,1,496,2.4,37.8,-122.2,1.7
3.7,52,0,5.6,1,555,2.9,37.8,-122.2,1.7
4.6,45,1,5.4,1,869,2.7,37.8,-122.2,1.6
5.3,39,0,5.8,0.9,236,2.2,37.8,-122.2,2.5
7.1,41,0,6.6,1.1,626,2.9,37.8,-122.2,2.4
4,46,0,6.4,1.2,922,2.8,37.8,-122.2,2.1
3,47,0,4.8,0.9,582,2.3,37.8,-122.2,2
2.7,50,1,4.7,1.1,546,2.7,37.8,-122.2,1.7
5.4,37,0,6.2,1,620,2.3,37.8,-122.2,3.4
6.3,34,0,6.9,1,442,2.3,37.8,-122.2,3.2
6.8,23,0,7.1,1,955,2.9,37.8,-122.2,2.9
7.1,24,0,7.6,1,916,2.8,37.8,-122.1,2.9
6,22,0,6.5,1,4985,2.5,37.8,-122.2,3.7
3.7,42,1,5.7,1,651,2.4,37.8,-122.2,1.6
2.9,30,0,4.7,1.1,1704,2.4,37.8,-122.2,1.4
3.4,43,1,4.9,1.1,1085,2.7,37.8,-122.2,1.4
3.3,50,1,5.8,1.1,713,2.5,37.8,-122.2,1.6
3.9,49,1,4.9,1,468,2.6,37.8,-122.2,1.4
4.2,52,0,5.4,1.1,296,2.4,37.8,-122.2,1.4
4.4,47,1,5.8,1,570,2.6,37.8,-122.2,1.6
4.8,48,0,5.4,1.1,446,2.5,37.8,-122.2,1.6
3.6,45,1,6.1,1,968,2.5,37.8,-122.2,1.8
3.1,39,0,5,1.1,857,2.7,37.8,-122.2,1.5
3.4,39,1,5,1.1,912,2.8,37.8,-122.2,1.4
1.9,31,0,5.4,1.2,1360,3,37.8,-122.2,0.9
1.9,41,0,4.5,1,1074,3,37.8,-122.2,0.9
2.2,47,0,5.5,1.1,965,2.5,37.8,-122.2,1.1
2.3,37,1,4.9,1.1,933,2.9,37.8,-122.2,1.1
2.4,38,0,5,1.1,987,2.8,37.8,-122.2,1
1.9,50,1,4.8,1.1,907,3.7,37.8,-122.2,0.9
3.9,52,0,4.6,1.1,447,2.7,37.8,-122.2,0.9
1.8,49,0,5.1,1,1299,2.9,37.8,-122.2,1
2.1,27,0,5.8,1.5,396,2.5,37.8,-122.2,1
2.8,42,0,4.4,1,877,3.3,37.8,-122.2,1
1.9,43,1,5.5,1.1,1111,3,37.8,-122.2,0.9
1.7,49,0,5.1,1,790,2.9,37.8,-122.2,0.9
2.3,52,0,5,1,1479,2.7,37.8,-122.2,1
3.3,51,0,4.8,1.1,1173,2.7,37.8,-122.2,1.2
2.1,52,0,4.8,1,1029,2.8,37.8,-122.2,1
2.5,52,1,5.8,1.1,1030,2.9,37.8,-122.2,0.9
1.8,47,1,4,0.9,826,3,37.8,-122.2,0.9
2,41,1,4.5,1.1,1412,3.1,37.8,-122.2,0.9
2.7,45,0,5.3,1.1,1132,3.2,37.8,-122.2,1
1.2,41,0,5.8,1.3,522,3.3,37.8,-122.2,0.7
1.9,45,1,4.2,1,630,2.7,37.8,-122.2,0.7
1.6,36,0,4.6,1,531,4,37.8,-122.2,0.7
1.4,37,0,4,1.1,1925,2.9,37.8,-122.2,0.8
0.8,38,0,4.3,1.1,1144,3.3,37.8,-122.2,0.8
1.3,19,0,4.2,1.1,1481,2.8,37.8,-122.2,0.8
0.8,28,1,5.3,1.2,435,2.7,37.8,-122.2,0.8
1.9,26,1,4.3,1,984,3.2,37.8,-122.2,0.9
1.2,36,1,5.3,1.3,567,3.6,37.7,-122.2,0.9
2.3,42,0,4.4,1.3,380,3.1,37.7,-122.2,0.8
2.2,44,0,4.4,1,825,3.4,37.7,-122.2,0.8
2.5,43,0,4.6,0.9,417,2.7,37.7,-122.2,0.8
1.3,45,1,5.3,1,801,2.8,37.7,-122.2,0.8
2.9,42,0,4.6,1.1,646,3.3,37.7,-122.2,0.8
2.5,43,0,4.9,1,855,3,37.7,-122.2,0.8
2.1,44,1,4,0.9,435,3.2,37.7,-122.2,0.8
2.5,42,0,5.2,1.1,2736,3.5,37.7,-122.2,0.8
2.4,41,1,3.9,1.1,1481,3.6,37.7,-122.2,1
2.2,47,0,3.4,1,327,2.4,37.7,-122.2,1
2.5,43,0,4.6,1.1,494,2.8,37.7,-122.2,1
2.2,43,0,4.3,1.1,1231,3.6,37.7,-122.2,0.9
1.8,35,0,4.6,1.2,323,3,37.7,-122.2,0.9
3,46,1,4.6,1,749,3.3,37.7,-122.2,1.1
2.3,46,0,4.3,1,693,3.9,37.7,-122.2,0.8
2.2,46,0,5.9,1.1,1339,3.8,37.7,-122.2,0.9
4,45,1,4.1,1,282,3.5,37.8,-122.2,0.8
1.3,46,0,4.8,1.1,621,3.2,37.8,-122.2,0.9
1.6,38,0,3.8,1.1,732,2.8,37.8,-122.2,0.9
2.2,45,0,3.8,1,901,3.5,37.8,-122.2,0.8
1.9,36,1,7.5,1.8,482,3.2,37.8,-122.2,0.8
2.1,43,0,4.9,1.1,652,3.1,37.8,-122.2,0.8
1.7,36,1,6.3,1.3,651,3.9,37.8,-122.2,0.8
2.6,33,0,4.5,1.1,999,3.5,37.8,-122.2,0.9
2,43,1,5.2,1,907,3,37.8,-122.2,1
2.5,41,1,5.5,1.2,828,3.6,37.8,-122.2,0.9
2.3,44,1,4.8,1,763,3,37.8,-122.2,0.9
1.4,48,1,5,1.1,935,2.7,37.8,-122.2,0.9
2.5,45,1,4.8,1.1,1437,3,37.8,-122.2,1
1.6,38,1,5.1,1.3,1516,3.1,37.8,-122.2,0.9
3.2,47,1,5.4,1.1,597,3.2,37.8,-122.2,1
1.8,40,1,4.9,1,949,2.8,37.8,-122.2,0.9
4.7,46,0,6,1,881,2.9,37.8,-122.2,1.6
2.5,36,0,5.4,1.1,1438,2.8,37.8,-122.2,1.6
6.1,39,1,6.8,1.1,763,2.8,37.8,-122.2,2
4.8,27,1,6.3,1,1297,3.7,37.8,-122.1,2.8
5.6,34,1,7.2,1.1,545,2.6,37.8,-122.1,2.5
5.4,26,1,6.1,0.9,1222,2.3,37.8,-122.1,2.8
6.9,33,0,8.3,1.2,808,3.7,37.8,-122.1,2.5
7.7,28,1,7.3,1,329,3,37.8,-122.1,3.3
4,36,0,6.3,1,299,2.7,37.8,-122.1,2
6.8,33,1,6.6,1,579,2.9,37.8,-122.1,2.6
5,30,1,8.3,1.1,137,2.7,37.8,-122.1,3.1
5.4,36,1,8.3,1,229,2.5,37.8,-122.1,3.3
5,41,0,6.8,1,1476,2.3,37.7,-122.1,2.5
2.9,46,0,6.2,1,429,2.8,37.8,-122.2,1.4
3.9,40,1,5.7,1,849,3.3,37.8,-122.2,1.3
3.2,44,1,5.9,1.2,946,2.9,37.8,-122.2,1.4
3.1,41,1,4.5,0.9,571,3,37.7,-122.2,1.3
2.5,24,0,4.6,1.2,1137,2.9,37.8,-122.2,1.1
2.6,44,0,4.6,1,378,2.8,37.8,-122.2,1.1
3.5,43,0,5.1,1,853,3.1,37.7,-122.2,1.2
3.3,49,0,4.7,1,764,2.7,37.7,-122.2,1.2
1.8,40,0,4.7,1.1,928,3.6,37.8,-122.2,1
3.8,35,0,5,1.1,406,3.1,37.8,-122.2,0.9
2.3,34,0,4.4,1,824,2.9,37.7,-122.2,0.9
2.5,37,1,5.3,1.1,835,3.2,37.8,-122.2,0.9
4,43,0,5.2,1,826,2.8,37.7,-122.2,1.1
3.5,46,1,4.9,0.9,567,2.7,37.7,-122.2,1.3
4.1,52,1,5.4,1,355,2.5,37.7,-122.2,1.4
2.6,47,0,5,1.3,533,3.2,37.7,-122.2,1
2,44,0,5.1,1.1,609,2.8,37.7,-122.2,1
3.3,49,0,5.4,1,576,2.4,37.9,-122.3,2.8
5.3,52,0,5.6,0.9,594,2.1,37.9,-122.3,2.7
3.5,52,0,6,1.1,870,2.3,37.9,-122.3,2.5
3.5,38,0,4.4,1,1027,2,37.9,-122.3,2.2
3.1,52,1,4.8,1.1,693,2.1,37.9,-122.3,2.3
2.8,46,1,4.1,1.1,815,2.2,37.9,-122.3,2.1
4.6,15,0,4.4,1.1,2420,2.1,37.9,-122.3,2.6
3,36,0,3.9,1.1,518,1.9,37.9,-122.3,2.1
4.1,52,1,4.5,1,620,2.3,37.9,-122.3,2.2
4.5,42,1,5,1.1,551,2.1,37.9,-122.3,2.1
1.7,37,1,3.3,1,2556,2.8,37.9,-122.3,3.5
3.2,52,0,4.6,1,1498,2.2,37.9,-122.3,2.2
3.9,50,0,5.3,1.1,523,2.3,37.9,-122.3,2.2
5.2,52,1,6.4,1.1,374,2.4,37.9,-122.3,2.7
5.2,52,0,6.1,1,1004,2.7,37.9,-122.3,2.6
4.3,52,1,5.5,1,769,2.3,37.9,-122.3,2.6
5.1,52,0,5.1,1,940,2.2,37.9,-122.3,2.3
5.6,42,1,6.4,1.1,645,2.5,37.9,-122.3,3.8
7.9,52,0,6.7,1,705,2.4,37.9,-122.3,3.6
8,52,0,7.6,1,684,2.5,37.9,-122.3,3.7
6.2,52,1,7.6,1,572,2.4,37.9,-122.3,3.6
6.9,52,1,8.1,1.1,671,2.7,37.9,-122.3,4.2
8.8,52,0,8.3,1,975,2.7,37.9,-122.3,4.3
7.2,52,0,7.4,1.1,779,2.5,37.9,-122.3,3.6
10.1,52,0,8.2,1,658,2.7,37.9,-122.3,4
4.9,52,0,6.7,1,819,2.4,37.9,-122.3,3.5
